央视,#genre#
CCTV17,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221226990/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178

CCTV-央视文化精品,http://220.176.218.11:9000/udp/239.252.219.81:5140$江西电信
CCTV-央视台球,http://220.176.218.11:9000/udp/239.252.219.80:5140
CCTV-风云音乐,http://220.176.218.11:9000/udp/239.252.219.87:5140
CCTV-第一剧场,http://220.176.218.11:9000/udp/239.252.219.86:5140
CCTV-风云剧场,http://220.176.218.11:9000/udp/239.252.219.89:5140
CCTV-怀旧剧场,http://220.176.218.11:9000/udp/239.252.219.90:5140
CCTV-女性时尚,http://220.176.218.11:9000/udp/239.252.219.94:5140
CCTV-高尔夫网球,http://220.176.218.11:9000/udp/239.252.219.95:5140
CCTV-风云足球,http://220.176.218.11:9000/udp/239.252.219.96:5140
CCTV-电视指南,http://220.176.218.11:9000/udp/239.252.219.97:5140
CCTV-世界地理,http://220.176.218.11:9000/udp/239.252.219.93:5140
CCTV-兵器科技,http://220.176.218.11:9000/udp/239.252.219.98:5140

CCTV-电视指南,http://202.102.201.244:40022/rtp/238.1.79.53:4560$安徽电信
CCTV-兵器科技,http://202.102.201.244:40022/rtp/238.1.79.56:4584
CCTV-第一剧场,http://202.102.201.244:40022/rtp/238.1.79.63:4640
CCTV-风云剧场,http://202.102.201.244:40022/rtp/238.1.79.62:4632
CCTV-风云音乐,http://202.102.201.244:40022/rtp/238.1.79.64:4648
CCTV-风云足球,http://202.102.201.244:40022/rtp/238.1.79.57:4592
CCTV-高尔夫网球,http://202.102.201.244:40022/rtp/238.1.79.58:4600
CCTV-怀旧剧场,http://202.102.201.244:40022/rtp/238.1.79.61:4624
CCTV-女性时尚,http://202.102.201.244:40022/rtp/238.1.79.55:4576
CCTV-世界地理,http://202.102.201.244:40022/rtp/238.1.79.60:4616
CCTV-央视台球,http://202.102.201.244:40022/rtp/238.1.79.59:4608
CCTV-央视文化精品	,http://202.102.201.244:40022/rtp/238.1.79.54:4568

CCTV风云剧场,webview://https://yangshipin.cn/tv/home?pid=600099658
CCTV第一剧场,webview://https://yangshipin.cn/tv/home?pid=600099655
CCTV怀旧剧场,webview://https://yangshipin.cn/tv/home?pid=600099620

CCTV-电视指南,http://120.76.248.139/live/bfgd/4200000164.m3u8
CCTV-风云足球,http://120.76.248.139/live/bfgd/4200000225.m3u8
CCTV-怀旧剧场,http://120.76.248.139/live/bfgd/4200000224.m3u8
CCTV-女性时尚,http://120.76.248.139/live/bfgd/4200000176.m3u8
CCTV-世界地理,http://120.76.248.139/live/bfgd/4200000177.m3u8

CCTV风云足球,http://plex.home.yulei.online:9999/rtp/226.0.1.209:2122
CCTV女性时尚,http://plex.home.yulei.online:9999/rtp/226.0.1.210:2128
CCTV高尔夫网球,http://plex.home.yulei.online:9999/rtp/226.0.1.211:2132
CCTV风云剧场,http://plex.home.yulei.online:9999/rtp/226.0.1.212:2133

CCTV央视台球,http://plex.home.yulei.online:9999/rtp/226.0.1.181:2118
CCTV怀旧剧场,http://plex.home.yulei.online:9999/rtp/226.0.1.182:2121

CCTV文化精品,http://plex.home.yulei.online:9999/rtp/226.0.1.162:2108
CCTV风云音乐,http://plex.home.yulei.online:9999/rtp/226.0.1.164:2109
CCTV第一剧场,http://plex.home.yulei.online:9999/rtp/226.0.1.167:2110
CCTV世界地理,http://plex.home.yulei.online:9999/rtp/226.0.1.169:2111
CCTV兵器科技,http://plex.home.yulei.online:9999/rtp/226.0.1.171:2115

CCTV第一剧场,http://183.237.95.108:9901/tsfile/live/1066_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV风云足球,http://183.237.95.108:9901/tsfile/live/1067_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV世界地理,http://183.237.95.108:9901/tsfile/live/1068_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV央视台球,http://183.237.95.108:9901/tsfile/live/1072_1.m3u8?key=txiptv&playlive=0&authid=0

CCTV风云足球,http://nas.hssvm.com:8888/udp/225.1.2.168:5002 $天津
CCTV高尔夫网球,http://nas.hssvm.com:8888/udp/225.1.2.169:5002
CCTV第一剧场,http://nas.hssvm.com:8888/udp/225.1.2.175:5002
CCTV怀旧剧场,http://nas.hssvm.com:8888/udp/225.1.2.173:5002
CCTV风云剧场,http://nas.hssvm.com:8888/udp/225.1.2.174:5002
CCTV世界地理,http://nas.hssvm.com:8888/udp/225.1.2.171:5002
CCTV兵器科技,http://nas.hssvm.com:8888/udp/225.1.2.166:5002
CCTV文化精品,http://nas.hssvm.com:8888/udp/225.1.2.177:5002
CCTV女性时尚,http://nas.hssvm.com:8888/udp/225.1.2.172:5002
CCTV风云音乐,http://nas.hssvm.com:8888/udp/225.1.2.176:5002
CCTV电视指南,http://nas.hssvm.com:8888/udp/225.1.2.167:5002
CCTV央视台球,http://nas.hssvm.com:8888/udp/225.1.2.170:5002
CCTV早期教育,http://nas.hssvm.com:8888/udp/225.1.2.207:5002


CETV-1,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227067/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178
CETV-4,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227192/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178
CETV-1,http://[2409:8087:3428:20:500::1009]:6610/PLTV/88888888/224/3221227067/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178
CETV-4,http://[2409:8087:3428:20:500::1009]:6610/PLTV/88888888/224/3221227192/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178

重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
重温经典,http://183.215.134.239:19901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
重温经典,http://120.76.248.139/live/bfgd/4200000635.m3u8
重温经典,http://120.76.248.139/live/bfgd/4200000636.m3u8



卫视,#genre#
浙江卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227193/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178
湖南卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221225827/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178
东方卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221225828/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178
江苏卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227160/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178
北京卫视4K,http://183.251.61.207/PLTV/88888888/224/3221227514/index.m3u8
北京卫视4K,http://[2409:8087:3428:20:500::1009]:6610/PLTV/88888888/224/3221227514/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178
北京卫视4K,http://150.138.77.132:10037/北京卫视.php
北京卫视,http://[2409:8087:3428:20:500::1009]:6610/PLTV/88888888/224/3221227246/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178
安徽卫视,http://[2409:8087:3428:20:500::1009]:6610/PLTV/88888888/224/3221227178/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178
辽宁卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227141/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178
天津卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227205/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178
山东卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227236/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178
广东卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221225824/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178
广东卫视4K,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227391/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178
广东卫视4K,http://ikuai.sunjianwu.fun:8800/udp/239.49.1.24:8000
深圳卫视4K,http://ikuai.sunjianwu.fun:8800/udp/239.49.1.27:8000
黑龙江卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221225862/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178
河南卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227095/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178
山西卫视,webview://https://apphhplushttps.sxrtv.com//television/live_wap_650.html?site=53&color=0697F4
山西卫视,http://ikuai.sunjianwu.fun:8800/udp/239.49.1.55:8000
山西卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227258/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178
山西卫视,http://plex.home.yulei.online:9999/udp/226.0.2.152:9128
河北卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227063/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178
江西卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221225834/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178
湖北卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221225840/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178
吉林卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227099/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178
贵州卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227201/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178
深圳卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227242/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178
深圳卫视4K,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227489/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178
深圳卫视4K,https://livepull-tcms.sztv.com.cn/live/sz4Kpgm.m3u8
深圳卫视4K,https://livepull-tcms.sztv.com.cn:443/live/sz4Kpgm.m3u8
深圳卫视4K,http://8.138.7.223/tv/gd.php?id=0201
广西卫视,http://[2409:8087:3428:20:500::1009]:6610/PLTV/88888888/224/3221227250/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178
甘肃卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227262/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178
内蒙古卫视,https://livestream-bt.nmtv.cn/nmtv/3208526general.m3u8?txSecret=eb5a3102dd5406c7ffeddf560b024952&txTime=76B2F9A0
内蒙古卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227244/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178
陕西卫视,http://42.225.117.174:11199/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0
陕西卫视,http://www.cdnstv.com:6398/hls/1129/index.m3u8
陕西卫视,http://[2409:8087:3428:20:500::1009]:6610/PLTV/88888888/224/3221225850/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178
四川卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221225835/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178
青海卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227119/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178
宁夏卫视,http://39.135.55.105:6610/PLTV/88888888/224/3221225849/index.m3u8?servicetype=1
西藏卫视,http://php.jdshipin.com:8880/xztv.php?id=ws
西藏卫视,http://www.lysvc.cc/daili/xztv.php?id=0
东南卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227156/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178
重庆卫视,http://[2409:8087:3428:20:500::1009]:6610/PLTV/88888888/224/3221227240/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178
新疆卫视,webview://https://www.xjtvs.com.cn/column/tv/434?channelId=1
新疆卫视,http://[2409:8087:3428:20:500::1009]:6610/PLTV/88888888/224/3221225852/index.m3u8?servicetype=1
云南卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227181/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178
海南卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227216/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178
兵团卫视,http://liveout.btzx.com.cn/62ds9e/yil08g.m3u8
兵团卫视,http://39.135.55.105:6610/PLTV/88888888/224/3221227168/index.m3u8?servicetype=1
厦门卫视,http://[2409:8087:3428:20:500::1009]:6610/PLTV/88888888/224/3221226781/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178
海峡卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227198/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178
三沙卫视,http://[2409:8087:3428:20:500::1009]:6610/PLTV/88888888/224/3221227172/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178
康巴卫视,http://zqh2333.top:2222/rtp/239.93.24.41:5140
康巴卫视,http://39.135.55.105:6610/PLTV/88888888/224/3221225856/index.m3u8?servicetype=1
延边卫视,https://live.ybtvyun.com/video/s10016-5adcf2b11d0d/index.m3u8
安多卫视,http://lovegfs.top:8000/udp/239.120.2.6:5141
安多卫视,http://lovegfs.top:8000/udp/239.120.2.163:5141
安多卫视,http://stream.qhBRTV.com/adws/playlist.m3u8
人间卫视,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u8
星空卫视,http://vl15191373.imwork.net:8880/udp/239.93.0.156:2193
农林卫视,webview://http://live.snrtv.com/nl
大湾区卫视,webview://https://www.gdtv.cn/tvChannelDetail/51
大湾区卫视,http://222.128.55.152:9080/live/dwq.m3u8
莲花卫视,http://8.138.7.223/tv/lotustv.m3u8

港澳台,#genre#
凤凰中文,https://live.sxrtv.com/iptv/fhzw.flv
凤凰资讯,https://live.sxrtv.com/iptv/fhzx.flv
凤凰香港,https://live.sxrtv.com/iptv/fhhk.flv

凤凰中文,http://vl15191373.imwork.net:8880/udp/239.93.0.162:2192
凤凰中文,http://vl15191373.imwork.net:8880/udp/239.93.1.55:8302
凤凰中文,http://vl15191373.imwork.net:8880/udp/239.93.1.9:2192
凤凰资讯,http://vl15191373.imwork.net:8880/udp/239.93.0.118:2191
凤凰资讯,http://vl15191373.imwork.net:8880/udp/239.93.1.4:2191

凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw2
凤凰资讯,http://php.jdshipin.com:8880/smt.php?id=phoenixinfo_hd
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx2
凤凰香港,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk2
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw2
凤凰资讯,http://php.jdshipin.com:8880/smt.php?id=phoenixinfo_hd
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx2
凤凰香港,http://php.jdshipin.com:8880/smt.php?id=hkphoenix_twn
凤凰香港,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk2

中天亚洲,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_ztyz.flv
中天新闻,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_ztxw.flv
东森超视,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_dscs.flv


翡翠台,http://cdn9.163189.xyz/smt1.1.php?id=jade_twn
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct


香港卫视,rtmp://zhibo.hkstv.tv/livestream/mutfysrq
无线新闻,http://cdn9.163189.xyz/smt1.1.php?id=inews_twn

中天新闻台,http://222.128.55.152:9080/live/fc.m3u8
台视新闻台,http://222.128.55.152:9080/live/ts.m3u8

香港PEAU,http://183.237.95.108:9901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=0&authid=0
翡翠台,http://183.237.95.108:9901/tsfile/live/1076_1.m3u8?key=txiptv&playlive=0&authid=0


翡翠台,http://222.128.55.152:9080/live/gdfc.m3u8
番薯111,http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8#http://61.216.67.119:1935/TWHG/E1/chunklist_w70581102.m3u8#http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8


TVBS,http://61.221.215.25:8800/hls/9/index.m3u8
三立戏剧台,http://61.221.215.25:8800/hls/41/index.m3u8
中天娱乐,http://61.221.215.25:8800/hls/47/index.m3u8
未来精彩,http://61.221.215.25:8800/hls/48/index.m3u8

翡翠台,http://111.221.218.59:8001/bysid/1

北京,#genre#
北京新闻,http://124.65.0.27:20000/rtp/239.3.1.159:8000
北京影视,http://124.65.3.143:20000/rtp/239.3.1.158:8000
北京文艺,http://124.65.3.143:20000/rtp/239.3.1.242:8000
北京财经,http://124.65.3.143:20000/rtp/239.3.1.116:8000
北京生活,http://124.65.3.143:20000/rtp/239.3.1.117:8000
北京青年,http://124.65.3.143:20000/rtp/239.3.1.118:8000


北京财经,http://littlegod.asuscomm.com:8012/udp/239.3.1.116:8000
北京生活,http://littlegod.asuscomm.com:8012/udp/239.3.1.117:8000
北京影视,http://littlegod.asuscomm.com:8012/udp/239.3.1.158:8000
北京新闻,http://littlegod.asuscomm.com:8012/udp/239.3.1.159:8000
卡酷少儿,http://littlegod.asuscomm.com:8012/udp/239.3.1.189:8000
北京体育休闲,http://littlegod.asuscomm.com:8012/udp/239.3.1.97:8001
北京纪实科教,http://littlegod.asuscomm.com:8012/udp/239.3.1.115:8000
北京卫视,http://littlegod.asuscomm.com:8012/udp/239.3.1.225:8000
北京文艺,http://littlegod.asuscomm.com:8012/udp/239.3.1.226:8000
北京纪实科教,http://littlegod.asuscomm.com:8012/udp/239.3.1.227:8000
北京影视,http://littlegod.asuscomm.com:8012/udp/239.3.1.228:8000
北京财经,http://littlegod.asuscomm.com:8012/udp/239.3.1.229:8000
北京生活,http://littlegod.asuscomm.com:8012/udp/239.3.1.231:8000
北京新闻,http://littlegod.asuscomm.com:8012/udp/239.3.1.233:8000
卡酷少儿,http://littlegod.asuscomm.com:8012/udp/239.3.1.234:8000
北京国际,http://littlegod.asuscomm.com:8012/udp/239.3.1.235:8000
北京文艺,http://littlegod.asuscomm.com:8012/udp/239.3.1.242:8000
北京体育休闲,http://littlegod.asuscomm.com:8012/udp/239.3.1.243:8000
淘剧场,http://littlegod.asuscomm.com:8012/udp/239.3.1.95:8001
淘BABY,http://littlegod.asuscomm.com:8012/udp/239.3.1.238:8001
淘电影,http://littlegod.asuscomm.com:8012/udp/239.3.1.250:8001
4K超清,http://littlegod.asuscomm.com:8012/udp/239.3.1.249:8001
淘娱乐,http://littlegod.asuscomm.com:8012/udp/239.3.1.100:8001
萌宠,http://littlegod.asuscomm.com:8012/udp/239.3.1.102:8001

北京纪实科教,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221225944/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178


天津,#genre#
天津新闻,http://117.9.112.118:8888/udp/225.1.1.130:5002
天津文艺,http://221.198.57.126:8888/udp/225.1.1.131:5002
天津影视,http://117.9.112.118:8888/udp/225.1.1.149:5002
天津都市,http://117.9.112.118:8888/udp/225.1.1.128:5002
天津体育,http://117.9.112.118:8888/udp/225.1.1.122:5002
天津教育,http://117.9.112.118:8888/udp/225.1.1.129:5002


山西,#genre#
黄河电视台,webview://http://tv.haoqu99.com/3/shan-xi/huanghxw.html
山西经济,webview://http://tv.haoqu99.com/3/shan-xi/shanxijj.html
山西影视,webview://http://tv.haoqu99.com/3/shan-xi/shanxiys.html
山西社会与法治,webview://http://tv.haoqu99.com/3/shan-xi/shanxikejiao.html
山西文体,webview://http://tv.haoqu99.com/3/shan-xi/shanxigg.html

山西卫视,http://plex.home.yulei.online:9999/udp/226.0.2.152:9128
山西文体,http://plex.home.yulei.online:9999/udp/226.0.1.200:2006
山西经济,http://plex.home.yulei.online:9999/udp/226.0.1.81:2003
山西影视,http://plex.home.yulei.online:9999/udp/226.0.1.82:2004
山西社会与法治,http://plex.home.yulei.online:9999/udp/226.0.1.83:2005
黄河电视台,http://plex.home.yulei.online:9999/udp/226.0.1.84:2002

晋中综合,http://jzlive.jztvnews.com:83/live/mount_for_ts/jzzh.m3u8
晋中综合,http://jzdb.jztvnews.com:83/live/mount_for_ts/jzzh.m3u8
晋中综合,http://jzlive.jztvnews.com:90/live/jzzh.m3u8?zshanxd
晋中公共,http://jzlive.jztvnews.com:90/live/jzgg.m3u8?zshanxd
晋中公共,http://jzdb.jztvnews.com:83/live/mount_for_ts/jzgg.m3u8
高平综合,http://live.gprmt.cn/gpnews/hd/live.m3u8
吉县新闻,http://jxlive.jxrmtzx.com:8091/live/xwzh.m3u8

内蒙古,#genre#
内蒙古卫视,https://livestream-bt.nmtv.cn/nmtv/3208526general.m3u8?txSecret=eb5a3102dd5406c7ffeddf560b024952&txTime=76B2F9A0
内蒙古新闻,https://livestream-bt.nmtv.cn/nmtv/2316general.m3u8?txSecret=b4373417a82ed64e52b0982a66da8df2&txTime=771E8800
内蒙古经济生活,https://livestream-bt.nmtv.cn/nmtv/2317general.m3u8?txSecret=112b2c4c872de52b0f37aff6ead63ef0&txTime=771E8800
内蒙古少儿,https://livestream-bt.nmtv.cn/nmtv/2318general.m3u8?txSecret=a2c948908728a0733cecbe1fadea23dc&txTime=771E8800
内蒙古蒙语卫视,https://livestream-bt.nmtv.cn/nmtv/2315general.m3u8?txSecret=4971666599ef9411629213c9a300bf66&txTime=771EF880
内蒙古文体,https://livestream-bt.nmtv.cn/nmtv/2319general.m3u8?txSecret=c7b5c515d2bb6df442492d54955329a3&txTime=771E8800
内蒙古农牧,https://livestream-bt.nmtv.cn/nmtv/2320general.m3u8?txSecret=4d368a175afa19737a9f5be10af24fe2&txTime=771E8800
内蒙古蒙语文化,https://livestream-bt.nmtv.cn/nmtv/2321general.m3u8?txSecret=d9d0fd7a252ef56b515c46a2e21830f4&txTime=771E8800

呼市新闻综合,https://livestream-bt.nmtv.cn/nmtv/2331general.m3u8?txSecret=4d7342ca5cd74480526ab6d292247aff&txTime=771E8800
包头新闻综合,https://livestream-bt.nmtv.cn/nmtv/2358general.m3u8?txSecret=98390a77c143a68f0fd64bfe6e181dcb&txTime=771E8800
鄂尔多斯新闻,https://livestream-bt.nmtv.cn/nmtv/2349general.m3u8?txSecret=e44477052aba305cadeea45aaf1c674a&txTime=771E8800
巴彦淖尔新闻,https://livestream-bt.nmtv.cn/nmtv/2348general.m3u8?txSecret=6a4ddce077e41b976fe33619fbef2b30&txTime=771E8800
赤峰新闻综合,https://livestream-bt.nmtv.cn/nmtv/2351general.m3u8?txSecret=8857087aeec2cec44d178a18550fdb8a&txTime=771E8800
乌兰察布新闻,https://livestream-bt.nmtv.cn/nmtv/2354general.m3u8?txSecret=cf5f71d0000862b18f5813607b3dfd5b&txTime=771E8800
鄂托克旗,http://110.19.181.138:10080/hls/F509Rh7GR/F509Rh7GR_live.m3u8

辽宁,#genre#
辽宁北方,http://ygbh.site/php/bfgd.php?id=071
辽宁都市,http://ygbh.site/php/bfgd.php?id=610
辽宁公共,http://ygbh.site/php/bfgd.php?id=077
辽宁公共,http://ygbh.site/php/bfgd.php?id=481
辽宁教育青少,http://ygbh.site/php/bfgd.php?id=075
辽宁经济,http://ygbh.site/php/bfgd.php?id=480
辽宁经济,http://ygbh.site/php/bfgd.php?id=076
辽宁生活,http://ygbh.site/php/bfgd.php?id=073
